Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
122	46	0	1.4998263	101324.939	101324.936	101324.926	101324.939	0.009303628	0.00510744327	0	54.8	0	0	3
123	46	0	1.51211996	101324.939	101324.936	101324.927	101324.939	0.00938867973	0.00510744327	0	54.4	0	0	3
124	46	0	1.52441361	101324.939	101324.936	101324.927	101324.939	0.00949326457	0.00510744327	0	53.8	0	0	3
125	47	0	1.53670727	101324.939	101324.937	101324.928	101324.939	0.00961063767	0.00510744327	0	53.1	0	0	3
126	47	0	1.54900093	101324.939	101324.937	101324.929	101324.939	0.00971731634	0.00510744327	0	52.5	0	0	3
127	47	0	1.56129459	101324.939	101324.937	101324.929	101324.939	0.00980690653	0.00510744327	0	52	0	0	3
128	48	0	1.57358825	101324.939	101324.937	101324.93	101324.939	0.00901545929	0.00510744327	0	56.6	0	0	3
129	48	0	1.58588191	101324.94	101324.938	101324.931	101324.94	0.0083485646	0.00510744327	0	61.1	0	0	3
130	48	0	1.59817556	101324.94	101324.938	101324.932	101324.94	0.00767174081	0.00510744327	0	66.5	0	0	3
131	49	0	1.61046922	101324.94	101324.938	101324.933	101324.94	0.00662264533	0.00510744327	0	77.1	0	0	3
132	49	0	1.62276288	101324.94	101324.938	101324.934	101324.94	0.00595407592	0.00510744327	0	85.7	0	0	3
133	49	0	1.63505654	101324.94	101324.938	101324.934	101324.94	0.00543031115	0.00510744327	0	94	0	0	3
134	50	0	1.6473502	101324.94	101324.938	101324.935	101324.94	0.00488186505	0.00510744327	0	100	0	0	3
135	50	0	1.65964385	101324.94	101324.939	101324.935	101324.94	0.0048070762	0.00510744327	0	100	0	0	3
136	50	0	1.67193751	101324.94	101324.939	101324.935	101324.94	0.00456622284	0.00510744327	0	100	0	0	3
137	51	0	1.68423117	101324.94	101324.939	101324.936	101324.94	0.0040507629	0.00510744327	0	100	0	0	3
